ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
1,DISTRICT 04 - SAN FRANCISCO,CA0103041,TRAILER HAVEN MOBILE HOME PARK,A,1/27/1983,ALAMEDA,SWP,P,C,C,459,R - MOBILE HOME PARK,191,SC   ,F_CD
2,LPA32 - ALPINE COUNTY,CA0202522,SIERRA PINES MOBILE HOME PARK,A,6/3/1997,ALPINE,GW ,P,C,C,70,R - MOBILE HOME PARK,32,SC   ,F_CD
3,DISTRICT 10 - STOCKTON,CA0300011,SUTTER PINES MHP,A,7/27/2016,AMADOR,GU ,P,C,C,40,R - MOBILE HOME PARK,20,DAVCS,F_CD
4,DISTRICT 10 - STOCKTON,CA0300024,TABEAU MOBILE HOME PARK,A,7/27/2016,AMADOR,GW ,P,C,C,62,R - MOBILE HOME PARK,22,SC   ,F_CD
5,DISTRICT 10 - STOCKTON,CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,A,8/4/2014,AMADOR,SW ,P,C,C,3553,R - MOBILE HOME PARK,331,SC   ,F_CD
6,DISTRICT 10 - STOCKTON,CA0300043,OK CORRAL,A,7/27/2016,AMADOR,GW ,P,NC,NC,25,R - MOBILE HOME PARK,7,N1   ,F_CD
7,DISTRICT 10 - STOCKTON,CA0300053,RANCHO DEL ORO MHP,A,7/27/2016,AMADOR,GW ,P,C,C,44,R - MOBILE HOME PARK,24,SC   ,F_CD
8,LPA34 - BUTTE COUNTY,CA0400019,OROVILLE MOBILE HOME PARK,A,7/28/2016,BUTTE,GW ,P,C,C,74,R - MOBILE HOME PARK,35,SC   ,F_CD
9,LPA34 - BUTTE COUNTY,CA0400020,PLEASANT GROVE MHP,A,7/28/2016,BUTTE,GW ,P,C,C,327,R - MOBILE HOME PARK,88,,
10,LPA34 - BUTTE COUNTY,CA0400021,ROBINSON'S CORNER MHP,A,7/28/2016,BUTTE,GW ,P,C,C,20,R - MOBILE HOME PARK,22,,
11,LPA34 - BUTTE COUNTY,CA0400023,GOLDEN OAKS MOBILE ESTATES,A,7/28/2016,BUTTE,GW ,P,C,C,34,R - MOBILE HOME PARK,25,SC   ,F_CD
12,LPA34 - BUTTE COUNTY,CA0400026,MEADOWBROOK OAKS,A,7/28/2016,BUTTE,GW ,P,C,C,50,R - MOBILE HOME PARK,26,,
13,LPA34 - BUTTE COUNTY,CA0400027,FOOTHILL SOLAR COMPANY,A,7/28/2016,BUTTE,GW ,P,C,C,180,R - MOBILE HOME PARK,127,,
14,LPA34 - BUTTE COUNTY,CA0400030,GOLDEN FEATHER MHP,A,7/28/2016,BUTTE,GW ,P,C,C,275,R - MOBILE HOME PARK,101,,
